Settings: pheremoneInit: 8, foodInit:0.9, alpha:10, randomLimit:1
Run: 32= 0.5199793, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 4
Run: 33= 0.03694952, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 0
Run: 34= 0.07117689, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 0
Run: 35= 0.4048019, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 3
Run: 36= 0.2778184, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 2
Run: 37= 0.8275547, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 6
Run: 38= 0.1490214, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 1
Run: 39= 0.5666365, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 4
Run: 40= 0.735899, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 5
Run: 41= 0.7431672, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 5
Run: 42= 0.1342244, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 1
Run: 43= 0.1375414, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 1
Run: 44= 0.5625961, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 4
Run: 45= 0.1656715, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 1
Run: 46= 0.5027397, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 4
Run: 47= 0.5096415, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 4
Run: 48= 0.1506333, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 1
Run: 49= 0.5900198, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 4
Run: 50= 0.3779628, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 3
Run: 51= 0.1853467, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 1
Run: 52= 0.1482114, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 1
Run: 53= 0.8805909, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 7
Run: 54= 0.7918023, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 6
Run: 55= 0.1498429, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 1
Run: 56= 0.8488503, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 6
Run: 57= 0.1981193, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 1
Run: 58= 0.09827065, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 0
Run: 59= 0.5682315, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 4
Run: 60= 0.8608038, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 6
Run: 61= 0.5775053, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 4
Run: 62= 0.1708442, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 1
Run: 63= 0.9065305, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 7
Run: 64= 0.7322901, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 5
Settings: pheremoneInit: 8, foodInit:0.9, alpha:10, randomLimit:1
Run: 0= 0.310751, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 2
Run: 1= 0.4781376, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 3
Run: 2= 0.05908072, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 0
Run: 3= 0.9749956, 39.58334, 0: 0.2807018, 1: 0.2807018, 2: 0.2807018, 3: 0.03157895, 4: 0.03157895, 5: 0.03157895, 6: 0.03157895, 7: 0.03157895, Next: 7
Run: 4= 0.3173553, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 2
Run: 5= 0.8003775, 19.86111, 0: 0.5594406, 1: 0.06293707, 2: 0.06293707, 3: 0.06293707, 4: 0.06293707, 5: 0.06293707, 6: 0.06293707, 7: 0.06293707, Next: 4
Run: 6= 0.2792794, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 2
Run: 7= 0.2995583, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 2
Run: 8= 0.1120281, 39.58334, 0: 0.03157895, 1: 0.03157895, 2: 0.2807018, 3: 0.03157895, 4: 0.2807018, 5: 0.03157895, 6: 0.03157895, 7: 0.2807018, Next: 2
Run: 9= 0.2381954, 29.72222, 0: 0.04205608, 1: 0.04205608, 2: 0.04205608, 3: 0.04205608, 4: 0.3738318, 5: 0.04205608, 6: 0.3738318, 7: 0.04205608, Next: 4
Run: 10= 0.4216269, 49.44445, 0: 0.0252809, 1: 0.0252809, 2: 0.0252809, 3: 0.2247191, 4: 0.2247191, 5: 0.2247191, 6: 0.0252809, 7: 0.2247191, Next: 4
Run: 11= 0.84992, 29.72222, 0: 0.04205608, 1: 0.04205608, 2: 0.04205608, 3: 0.3738318, 4: 0.04205608, 5: 0.04205608, 6: 0.3738318, 7: 0.04205608, Next: 6
Run: 12= 0.3527281, 49.44445, 0: 0.2247191, 1: 0.2247191, 2: 0.0252809, 3: 0.0252809, 4: 0.0252809, 5: 0.2247191, 6: 0.2247191, 7: 0.0252809, Next: 1
Run: 13= 0.5288351, 29.72222, 0: 0.04205608, 1: 0.04205608, 2: 0.04205608, 3: 0.3738318, 4: 0.04205608, 5: 0.04205608, 6: 0.3738318, 7: 0.04205608, Next: 4
Run: 14= 0.9854442, 29.72222, 0: 0.04205608, 1: 0.04205608, 2: 0.04205608, 3: 0.3738318, 4: 0.04205608, 5: 0.3738318, 6: 0.04205608, 7: 0.04205608, Next: 7
Run: 15= 0.970377, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 7
Run: 16= 0.3171988, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 2
Run: 17= 0.5628439, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 4
Run: 18= 0.6337187, 6.25, 0: 0.2, 1: 0.2, 2: 0.2, 3: 0.2, 4: 0.2, Next: 3
Run: 19= 0.6844119, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 5
Run: 20= 0.1026022, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 0
Run: 21= 0.0281595, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 0
Run: 22= 0.1577692, 39.58334, 0: 0.2807018, 1: 0.03157895, 2: 0.03157895, 3: 0.2807018, 4: 0.03157895, 5: 0.2807018, 6: 0.03157895, 7: 0.03157895, Next: 0
Run: 23= 0.7094052, 29.72222, 0: 0.04205608, 1: 0.04205608, 2: 0.04205608, 3: 0.3738318, 4: 0.04205608, 5: 0.04205608, 6: 0.3738318, 7: 0.04205608, Next: 6
Run: 24= 0.753804, 49.44445, 0: 0.2247191, 1: 0.2247191, 2: 0.0252809, 3: 0.0252809, 4: 0.0252809, 5: 0.2247191, 6: 0.2247191, 7: 0.0252809, Next: 6
Run: 25= 0.9405031, 29.72222, 0: 0.04205607, 1: 0.3738318, 2: 0.04205607, 3: 0.3738318, 4: 0.04205607, 5: 0.04205607, 6: 0.04205607, 7: 0.04205607, Next: 6
Run: 26= 0.4578312, 29.72222, 0: 0.3738318, 1: 0.3738318, 2: 0.04205607, 3: 0.04205607, 4: 0.04205607, 5: 0.04205607, 6: 0.04205607, 7: 0.04205607, Next: 1
Run: 27= 0.8604616, 29.72222, 0: 0.04205607, 1: 0.3738318, 2: 0.04205607, 3: 0.3738318, 4: 0.04205607, 5: 0.04205607, 6: 0.04205607, 7: 0.04205607, Next: 4
Run: 28= 0.9484427, 29.72222, 0: 0.3738318, 1: 0.04205607, 2: 0.04205607, 3: 0.3738318, 4: 0.04205607, 5: 0.04205607, 6: 0.04205607, 7: 0.04205607, Next: 6
Run: 29= 0.1118474, 19.86111, 0: 0.5594406, 1: 0.06293707, 2: 0.06293707, 3: 0.06293707, 4: 0.06293707, 5: 0.06293707, 6: 0.06293707, 7: 0.06293707, Next: 0
Run: 30= 0.4259394, 29.72222, 0: 0.04205607, 1: 0.3738318, 2: 0.04205607, 3: 0.3738318, 4: 0.04205607, 5: 0.04205607, 6: 0.04205607, 7: 0.04205607, Next: 2
Run: 31= 0.6453561, 39.58334, 0: 0.2807018, 1: 0.03157895, 2: 0.03157895, 3: 0.2807018, 4: 0.03157895, 5: 0.2807018, 6: 0.03157895, 7: 0.03157895, Next: 4
Run: 32= 0.2589689, 39.58334, 0: 0.2807018, 1: 0.03157895, 2: 0.03157895, 3: 0.2807018, 4: 0.03157895, 5: 0.2807018, 6: 0.03157895, 7: 0.03157895, Next: 0
Run: 33= 0.4709705, 29.72222, 0: 0.04205608, 1: 0.04205608, 2: 0.04205608, 3: 0.3738318, 4: 0.04205608, 5: 0.04205608, 6: 0.3738318, 7: 0.04205608, Next: 3
Run: 34= 0.3572742, 49.44445, 0: 0.0252809, 1: 0.0252809, 2: 0.0252809, 3: 0.2247191, 4: 0.2247191, 5: 0.2247191, 6: 0.0252809, 7: 0.2247191, Next: 4
Settings: pheremoneInit: 8, foodInit:0.9, alpha:10, randomLimit:1
Run: 0= 0.242749, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 1
Run: 1= 0.08222806, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 0
Run: 2= 0.2126597, 49.44445, 0: 0.2247191, 1: 0.0252809, 2: 0.2247191, 3: 0.2247191, 4: 0.2247191, 5: 0.0252809, 6: 0.0252809, 7: 0.0252809, Next: 0
Settings: pheremoneInit: 8, foodInit:0.9, alpha:10, randomLimit:1
Run: 0= 0.04096425, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 0
Run: 1= 0.6097625, 29.72222, 0: 0.04205607, 1: 0.3738318, 2: 0.3738318, 3: 0.04205607, 4: 0.04205607, 5: 0.04205607, 6: 0.04205607, 7: 0.04205607, Next: 2
Run: 2= 0.0561372, 49.44445, 0: 0.2247191, 1: 0.0252809, 2: 0.2247191, 3: 0.2247191, 4: 0.2247191, 5: 0.0252809, 6: 0.0252809, 7: 0.0252809, Next: 0
